,Hashtag+combined_ID,Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,GEX lib,ADT lib,TCR lib,BCR lib,HTO lib,Organ,Protein panel,symbol,combined_ID
48,HTO_C0257_CZI-IA10466281+CZI-IA10466377,105,637C-MLN-105,UK,637C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,MLN,Protein panel 2,+,CZI-IA10466281+CZI-IA10466377
49,HTO_C0256_CZI-IA10466281+CZI-IA10466377,106,637C-TLN-106,UK,637C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,TLN,Protein panel 2,+,CZI-IA10466281+CZI-IA10466377
50,HTO_C0255_CZI-IA10466281+CZI-IA10466377,107,637C-LIV-107,UK,637C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,LIV,Protein panel 2,+,CZI-IA10466281+CZI-IA10466377
51,HTO_C0254_CZI-IA10466282+CZI-IA10466378,102,637C-SPL-102,UK,637C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,SPL,Protein panel 2,+,CZI-IA10466282+CZI-IA10466378
52,HTO_C0252_CZI-IA10466282+CZI-IA10466378,103,637C-BLD-103,UK,637C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,BLO,Protein panel 2,+,CZI-IA10466282+CZI-IA10466378
53,HTO_C0253_CZI-IA10466282+CZI-IA10466378,104,637C-BMA-104,UK,637C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,BMA,Protein panel 2,+,CZI-IA10466282+CZI-IA10466378
54,HTO_C0257_CZI-IA10466282+CZI-IA10466378,105,637C-MLN-105,UK,637C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,MLN,Protein panel 2,+,CZI-IA10466282+CZI-IA10466378
55,HTO_C0256_CZI-IA10466282+CZI-IA10466378,106,637C-TLN-106,UK,637C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,TLN,Protein panel 2,+,CZI-IA10466282+CZI-IA10466378
56,HTO_C0255_CZI-IA10466282+CZI-IA10466378,107,637C-LIV-107,UK,637C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,LIV,Protein panel 2,+,CZI-IA10466282+CZI-IA10466378
57,HTO_C0254_CZI-IA10466283+CZI-IA10466379,102,637C-SPL-102,UK,637C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,SPL,Protein panel 2,+,CZI-IA10466283+CZI-IA10466379
58,HTO_C0252_CZI-IA10466283+CZI-IA10466379,103,637C-BLD-103,UK,637C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,BLO,Protein panel 2,+,CZI-IA10466283+CZI-IA10466379
59,HTO_C0253_CZI-IA10466283+CZI-IA10466379,104,637C-BMA-104,UK,637C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,BMA,Protein panel 2,+,CZI-IA10466283+CZI-IA10466379
